index,pos,vel,duty
0,0.0000,-1.1034,-17
1,0.0000,-0.9931,-17
2,0.0439,3.5008,-17
3,0.0220,0.9534,-17
4,0.0000,-1.3392,-18
5,0.0000,-1.2053,-18
6,-0.0220,-3.2820,-17
7,0.0439,3.6380,-17
8,0.0220,1.0769,-19
9,0.0879,7.5610,-19
10,0.0659,4.6077,-21
11,0.0659,4.1469,-21
12,0.1099,8.1267,-20
13,-0.0439,-8.0668,-20
14,0.0220,-0.6683,-14
15,0.0439,1.5958,-14
16,0.0439,1.4362,-18
17,-0.0439,-7.4965,-18
18,0.0000,-2.3523,-14
19,0.0000,-2.1171,-14
20,0.0659,4.6864,-17
21,0.0879,6.4151,-17
22,0.0220,-0.8182,-21
23,0.0659,3.6581,-21
24,0.0220,-1.1022,-19
25,0.0220,-0.9920,-19
26,0.0000,-3.0901,-17
27,0.1099,8.2053,-17
28,0.0220,-1.4043,-21
29,0.0659,3.1306,-21
30,0.1758,13.8039,-19
31,0.0220,-2.9573,-19
32,0.1318,8.3247,-16
33,0.0220,-3.4941,-16
34,0.0220,-3.1447,-16
35,0.0439,-0.6329,-16
36,-0.0439,-9.3587,-18
37,0.0439,0.3662,-18
38,0.0000,-4.0649,-18
39,0.0000,-3.6584,-18
40,0.0220,-1.0953,-16
41,0.0439,1.2115,-16
42,0.0220,-1.1069,-18
43,-0.0879,-11.9826,-18
44,0.0220,0.2020,-12
45,0.0220,0.1818,-12
46,0.0220,0.1636,-18
47,0.0439,2.3445,-18
48,-0.0220,-4.4817,-19
49,0.0879,6.9528,-19
50,0.1099,8.4548,-21
51,0.0000,-3.3770,-21
52,0.1099,7.9470,-16
53,0.1538,11.5468,-16
54,0.0659,1.6031,-23
55,0.1758,12.4291,-23
56,0.0220,-4.1947,-23
57,0.0220,-3.7752,-23
58,0.0659,0.9968,-16
59,0.0439,-1.3001,-16
60,0.0220,-3.3674,-17
61,0.0439,-0.8334,-17
62,0.0220,-2.9473,-17
63,0.0439,-0.4553,-17
64,0.0220,-2.6070,-18
65,0.0879,4.2455,-18
66,-0.0220,-7.1654,-20
67,0.0659,2.3402,-20
68,0.0220,-2.2884,-19
69,0.0000,-4.2568,-19
70,0.0659,2.7607,-16
71,0.0000,-4.1072,-16
72,0.0439,0.6981,-16
73,0.0439,0.6283,-16
74,0.0659,2.7627,-18
75,0.0220,-1.9081,-18
76,0.0659,2.6772,-17
77,0.0220,-1.9850,-17
78,-0.0220,-6.1810,-17
79,0.1099,7.6207,-17
80,-0.0879,-12.9168,-21
81,0.0000,-2.8361,-21
82,0.1099,8.4339,-16
83,0.0439,0.9987,-16
84,0.0000,-3.4957,-18
85,0.0439,1.2484,-18
86,0.0659,3.3208,-18
87,0.0439,0.7915,-18
88,-0.0439,-8.0767,-18
89,0.0659,3.7173,-18
90,0.0439,1.1483,-19
91,-0.0439,-7.7556,-19
92,0.0439,1.8090,-31
93,-0.0879,-11.5555,-31
94,0.0220,0.5864,-43
95,0.0439,2.7250,-43
96,0.0439,2.4525,-55
97,0.0000,-2.1873,-55
98,0.0000,-1.9685,-67
99,0.1099,9.2146,-67
100,0.0879,6.0959,-79
101,0.0220,-1.1055,-79
102,-0.0220,-5.3895,-91
103,-0.0659,-9.2450,-91
104,-0.0220,-3.9260,-98
105,-0.1758,-18.9143,-98
106,-0.2197,-21.4174,-94
107,-0.2417,-21.4729,-94
108,-0.4834,-43.4955,-93
109,-0.4614,-36.9487,-93
110,-0.5713,-44.2402,-86
111,-0.7031,-52.9997,-86
112,-0.7910,-56.4888,-79
113,-0.9668,-68.4181,-79
114,-1.0547,-70.3653,-72
115,-1.1865,-76.5124,-72
116,-1.3403,-84.2420,-68
117,-1.4502,-86.8041,-68
118,-1.5820,-91.3073,-62
119,-1.8018,-104.1492,-62
120,-1.8896,-102.5234,-54
121,-1.9336,-96.6656,-54
122,-2.1094,-104.5771,-57
123,-2.2192,-105.1057,-57
124,-2.2852,-101.1870,-52
125,-2.4609,-108.6464,-52
126,-2.5049,-102.1763,-50
127,-2.6807,-109.5368,-50
128,-2.8345,-113.9640,-49
129,-2.8784,-106.9621,-49
130,-3.0322,-111.6467,-49
131,-3.1860,-115.8629,-49
132,-3.3618,-121.8547,-44
133,-3.4497,-118.4583,-44
134,-3.4717,-108.8098,-42
135,-3.6255,-113.3096,-42
136,-3.7793,-117.3595,-43
137,-3.8232,-110.0181,-43
138,-4.0869,-125.3835,-44
139,-4.1309,-117.2397,-44
140,-4.3066,-123.0938,-40
141,-4.3726,-117.3762,-40
142,-4.4604,-114.4277,-39
143,-4.4385,-100.7876,-39
144,-4.7241,-119.2733,-45
145,-4.7461,-109.5432,-45
146,-4.8999,-113.9698,-41
147,-5.0757,-120.1509,-41
148,-5.0977,-110.3331,-35
149,-5.1855,-108.0888,-35
150,-5.3394,-112.6608,-39
151,-5.4053,-107.9865,-39
152,-5.5371,-110.3715,-39
153,-5.5811,-103.7289,-39
154,-5.7349,-108.7368,-40
155,-5.8008,-104.4549,-40
156,-5.9106,-104.9958,-39
157,-5.9766,-101.0880,-39
158,-6.0645,-99.7682,-39
159,-6.1084,-94.1860,-39
160,-6.2402,-97.9510,-42
161,-6.4600,-110.1285,-42
162,-6.3281,-85.9321,-34
163,-6.5039,-94.9170,-34
164,-6.5698,-92.0171,-40
165,-6.7236,-98.1962,-40
166,-6.8774,-103.7575,-38
167,-6.8115,-86.7899,-38
168,-6.8115,-78.1109,-42
169,-6.9434,-83.4834,-42
170,-7.1631,-97.1077,-43
171,-7.1851,-89.5942,-43
172,-7.2729,-89.4239,-39
173,-7.3169,-84.8760,-39
174,-7.4487,-89.5720,-41
175,-7.4268,-78.4175,-41
176,-7.6465,-92.5484,-43
177,-7.6465,-83.2936,-43
178,-7.7124,-81.5560,-40
179,-7.8003,-82.1895,-40
180,-7.8662,-80.5623,-40
181,-7.9102,-76.9006,-40
182,-7.9541,-73.6051,-42
183,-7.9761,-68.4418,-42
184,-8.1519,-79.1758,-45
185,-8.0859,-64.6664,-45
186,-8.2617,-75.7779,-46
187,-8.2178,-63.8056,-46
188,-8.3716,-72.8059,-46
189,-8.3716,-65.5253,-46
190,-8.4814,-69.9591,-45
191,-8.5254,-67.3577,-45
192,-8.5474,-62.8192,-43
193,-8.6353,-65.3263,-43
194,-8.7451,-69.7800,-44
195,-8.7891,-67.1966,-44
196,-8.8330,-64.8714,-43
197,-8.8770,-62.7788,-43
198,-8.9868,-67.4873,-44
199,-9.0527,-67.3303,-44
200,-9.1187,-67.1891,-42
201,-8.9868,-47.2866,-42
202,-9.2285,-66.7278,-50
203,-9.2725,-64.4496,-50
204,-9.3164,-62.3992,-42
205,-9.3823,-62.7510,-42
206,-9.3823,-56.4759,-42
207,-9.4922,-61.8147,-42
208,-9.6460,-71.0141,-42
209,-9.6899,-68.3072,-42
210,-9.7339,-65.8710,-39
211,-9.7778,-63.6784,-39
212,-9.8437,-63.9024,-40
213,-9.8877,-61.9067,-40
214,-9.8877,-55.7160,-41
215,-9.9976,-61.1307,-41
216,-10.0415,-59.4122,-41
217,-10.0635,-55.6682,-41
218,-10.1733,-61.0877,-43
219,-10.1953,-57.1762,-43
220,-10.3052,-62.4449,-42
221,-10.3711,-62.7922,-42
222,-10.3931,-58.7103,-39
223,-10.4810,-61.6283,-39
224,-10.5688,-64.2545,-39
225,-10.6128,-62.2236,-39
226,-10.6787,-62.5930,-38
227,-10.6787,-56.3337,-38
228,-10.8325,-66.0812,-40
229,-10.8545,-61.6704,-40
230,-10.9204,-62.0951,-37
231,-10.9424,-58.0829,-37
232,-10.9204,-50.0773,-38
233,-11.0742,-60.4504,-38
234,-11.2280,-69.7863,-37
235,-11.2061,-60.6104,-37
236,-11.2500,-58.9439,-36
237,-11.3599,-64.0358,-36
238,-11.4038,-62.0267,-34
239,-11.5796,-73.4022,-34
240,-11.5796,-66.0620,-30
241,-11.4917,-50.6667,-30
242,-11.6675,-63.1782,-39
243,-11.6675,-56.8603,-39
244,-11.6675,-51.1743,-36
245,-11.6895,-48.2541,-36
246,-11.8213,-56.6123,-39
247,-11.7993,-48.7538,-39
248,-11.9092,-54.8648,-39
249,-11.9531,-53.7728,-39
250,-11.7554,-28.6201,-36
251,-11.9971,-49.9281,-36
252,-12.1069,-55.9216,-38
253,-11.9971,-39.3431,-38
254,-12.2388,-59.5787,-42
255,-12.1289,-42.6345,-42
256,-12.2168,-47.1601,-40
257,-12.2168,-42.4441,-40
258,-12.3486,-51.3833,-40
259,-12.3267,-44.0477,-40
260,-12.3267,-39.6429,-39
261,-12.3047,-33.4814,-39
262,-12.3267,-32.3305,-43
263,-12.3926,-35.6892,-43
264,-12.3047,-23.3312,-42
265,-12.5464,-45.1680,-42
266,-12.6123,-47.2430,-38
267,-12.4805,-29.3351,-38
268,-12.5464,-32.9934,-44
269,-12.5464,-29.6941,-44
270,-12.6562,-37.7110,-44
271,-12.6343,-31.7426,-44
272,-12.6562,-30.7656,-43
273,-12.6562,-27.6891,-43
274,-12.7222,-31.5120,-45
275,-12.7441,-30.5580,-45
276,-12.6562,-18.7132,-43
277,-12.7002,-21.2364,-43
278,-12.6562,-14.7182,-47
279,-12.6782,-15.4437,-47
280,-12.6782,-13.8993,-50
281,-12.7441,-19.1012,-50
282,-12.7002,-12.7965,-48
283,-12.7881,-20.3059,-48
284,-12.7222,-11.6835,-47
285,-12.8760,-25.8960,-47
286,-12.8320,-18.9119,-45
287,-12.6782,-1.6399,-45
288,-12.7222,-5.8704,-56
289,-12.6782,-0.8888,-56
290,-12.6782,-0.7999,-56
291,-12.7002,-2.9172,-56
292,-12.7002,-2.6255,-55
293,-12.6782,-0.1657,-55
294,-12.5903,8.6400,-57
295,-12.7002,-3.2104,-57
296,-12.6562,1.5052,-55
297,-12.6343,3.5519,-55
298,-12.5244,14.1831,-59
299,-12.6343,1.7784,-59
300,-12.6562,-0.5967,-58
301,-12.6782,-2.7343,-58
302,-12.6123,4.1310,-56
303,-12.6343,1.5206,-56
304,-12.5684,7.9603,-58
305,-12.5903,4.9670,-58
306,-12.6123,2.2731,-60
307,-12.5684,6.4403,-60
308,-12.5464,7.9935,-61
309,-12.5684,4.9969,-61
310,-12.5024,11.0890,-60
311,-12.5903,1.1910,-60
312,-12.5244,7.6637,-59
313,-12.5024,9.0946,-59
314,-12.4805,10.3824,-62
315,-12.5244,4.9497,-62
316,-12.4805,8.8492,-61
317,-12.4365,12.3588,-61
318,-12.5464,0.1366,-64
319,-12.5684,-2.0743,-64
320,-12.3706,17.9085,-58
321,-12.4365,9.5259,-58
322,-12.4805,4.1787,-63
323,-12.4805,3.7609,-63
324,-12.5024,1.1875,-61
325,-12.5024,1.0688,-61
326,-12.5024,0.9619,-60
327,-12.5024,0.8657,-60
328,-12.5464,-3.6154,-60
329,-12.5464,-3.2539,-60
330,-12.6343,-11.7175,-58
331,-12.5684,-3.9540,-58
332,-12.5684,-3.5586,-58
333,-12.4805,5.5863,-58
334,-12.5903,-5.9586,-62
335,-12.6343,-9.7573,-62
336,-12.6343,-8.7816,-56
337,-12.5903,-3.5089,-56
338,-12.5903,-3.1580,-58
339,-12.5244,3.7496,-58
340,-12.5903,-3.2172,-62
341,-12.6343,-7.2900,-62
342,-12.5464,2.2281,-57
343,-12.5684,-0.1920,-57
344,-12.6343,-6.7646,-60
345,-12.6123,-3.8909,-60
346,-12.6343,-5.6990,-59
347,-12.4805,10.2517,-59
348,-12.6562,-8.3516,-65
349,-12.6123,-3.1219,-65
350,-12.5903,-0.6124,-59
351,-12.6123,-2.7485,-59
352,-12.6562,-6.8681,-59
353,-12.6562,-6.1813,-59
354,-12.6343,-3.3659,-58
355,-12.6562,-5.2266,-58
356,-12.5903,1.8879,-58
357,-12.7002,-9.2873,-58
358,-12.6782,-6.1613,-57
359,-12.7881,-16.5315,-57
360,-12.7222,-8.2865,-53
361,-12.6343,1.3312,-53
362,-12.7661,-11.9855,-62
363,-12.8101,-15.1815,-62
364,-12.7222,-4.8743,-54
365,-12.6782,0.0077,-54
366,-12.6782,0.0069,-61
367,-12.6782,0.0062,-61
368,-12.7222,-4.3889,-61
369,-12.6562,2.6418,-61
370,-12.7002,-2.0170,-62
371,-12.6343,4.7765,-62
