index,pos,vel,duty
0,-13.0298,106.3871,-10
1,-12.8760,111.1293,-22
2,-12.7441,113.1999,-22
3,-12.7222,104.0772,-34
4,-12.6343,102.4585,-34
5,-12.4585,109.7908,-46
6,-12.2827,116.3899,-46
7,-12.3047,102.5536,-58
8,-12.3047,92.2982,-58
9,-12.1948,94.0547,-70
10,-12.1729,86.8465,-70
11,-12.0190,93.5427,-82
12,-12.0190,84.1885,-82
13,-12.0410,73.5723,-94
14,-11.9312,77.2014,-94
15,-11.9751,65.0868,-95
16,-11.9531,60.7753,-95
17,-12.0410,45.9087,-88
18,-12.0850,36.9233,-88
19,-12.1509,26.6392,-78
20,-12.1729,21.7780,-78
21,-12.3486,2.0221,-72
22,-12.3267,4.0172,-72
23,-12.4805,-11.7654,-60
24,-12.5244,-14.9834,-60
25,-12.7002,-31.0632,-48
26,-12.7661,-34.5487,-48
27,-12.8979,-44.2774,-36
28,-13.0518,-55.2305,-36
29,-13.1177,-56.2993,-24
30,-13.3154,-70.4447,-24
31,-13.3374,-65.5975,-12
32,-13.5352,-78.8131,-12
33,-13.5352,-70.9318,0
34,-13.7329,-83.6140,0
35,-13.9307,-95.0280,12
36,-14.0186,-94.3143,12
37,-14.0625,-89.2774,24
38,-14.2163,-95.7305,24
39,-14.3042,-94.9465,36
40,-14.4360,-98.6355,36
41,-14.5239,-97.5610,48
42,-14.6338,-98.7912,48
43,-14.7217,-97.7011,60
44,-14.8535,-101.1146,60
45,-14.9854,-104.1867,72
46,-15.0513,-100.3599,72
47,-15.1831,-103.5075,84
48,-15.2490,-99.7485,84
49,-15.3149,-96.3655,96
50,-15.3369,-88.9262,96
51,-15.4248,-88.8226,108
52,-15.4907,-86.5322,108
53,-15.5347,-82.2735,120
54,-15.4907,-69.6516,120
55,-15.5347,-67.0810,117
56,-15.4248,-49.3865,117
57,-15.2710,-29.0670,109
58,-15.2271,-21.7658,109
59,-14.9854,4.5807,97
60,-14.9414,8.5172,97
61,-14.7656,25.2436,85
62,-14.6118,38.1001,85
63,-14.5239,43.0791,73
64,-14.3921,51.9548,73
65,-14.1724,68.7320,61
66,-13.9966,79.4369,61
67,-13.8647,84.6768,49
68,-13.7329,89.3927,49
69,-13.6011,93.6370,37
70,-13.4692,97.4569,37
71,-13.2715,107.4866,25
72,-13.1836,105.5270,25
73,-13.0518,108.1579,13
74,-12.8320,119.3148,13
75,-12.7661,113.9751,1
76,-12.7002,109.1694,1
77,-12.3486,133.4087,-11
78,-12.4146,113.4760,-11
79,-12.1729,126.2983,-23
80,-12.1289,118.0630,-23
81,-11.9751,121.6376,-35
82,-11.9312,113.8683,-35
83,-11.9092,104.6788,-47
84,-11.6675,118.3808,-47
85,-11.5796,115.3318,-59
86,-11.4478,116.9822,-59
87,-11.2939,120.6648,-71
88,-11.2720,110.7956,-71
89,-11.2061,106.3078,-83
90,-11.2061,95.6771,-83
91,-11.0522,101.4902,-95
92,-11.1401,82.5521,-95
93,-11.0303,85.2832,-107
94,-11.0742,72.3604,-107
95,-11.2061,51.9407,-119
96,-11.2939,37.9576,-119
97,-11.2939,34.1618,-131
98,-11.3818,21.9566,-131
99,-11.5576,2.1828,-143
100,-11.9092,-33.1917,-143
101,-12.0190,-40.8589,-155
102,-12.2168,-56.5484,-155
103,-12.5464,-83.8525,-160
104,-12.7222,-93.0454,-160
105,-13.3154,-143.0670,-148
106,-13.6450,-161.7193,-148
107,-14.1284,-193.8872,-136
108,-14.6118,-222.8383,-136
109,-15.0732,-246.6971,-124
110,-15.7104,-285.7480,-124
111,-16.1719,-303.3158,-112
112,-16.7212,-327.9159,-112
113,-17.2266,-345.6614,-100
114,-17.7319,-361.6324,-100
115,-18.3032,-382.5980,-88
116,-18.8306,-397.0726,-88
117,-19.4897,-423.2833,-76
118,-19.9292,-424.9003,-76
119,-20.5884,-448.3282,-64
120,-21.1597,-460.6243,-64
121,-21.7749,-476.0853,-52
122,-22.4341,-494.3947,-52
123,-22.8516,-486.7032,-40
124,-23.3569,-488.5700,-40
125,-24.1040,-514.4200,-28
126,-24.6313,-515.7123,-28
127,-25.2466,-525.6646,-16
128,-25.8398,-532.4243,-16
129,-26.5430,-549.4943,-4
130,-27.1362,-553.8711,-4
131,-27.7515,-560.0074,8
132,-28.3667,-565.5302,8
133,-29.0259,-574.8951,20
134,-29.6191,-576.7318,20
135,-30.2344,-580.5820,32
136,-30.8716,-586.2444,32
137,-31.5527,-595.7352,44
138,-32.1680,-597.6851,44
139,-32.7832,-599.4400,56
140,-33.3545,-596.6249,56
141,-34.0796,-609.4722,68
142,-34.3652,-577.0894,68
143,-35.0244,-585.2984,80
144,-35.6396,-588.2920,80
145,-36.2109,-586.5917,92
146,-36.6064,-567.4833,92
147,-37.1997,-570.0611,104
148,-37.6392,-557.0003,104
149,-38.0786,-545.2455,116
150,-38.3423,-517.0881,116
151,-38.9795,-529.1000,128
152,-39.2212,-500.3599,128
153,-39.5508,-483.2829,140
154,-39.9023,-470.1108,140
155,-40.1880,-451.6642,152
156,-40.3857,-426.2731,152
157,-40.6055,-405.6185,164
158,-40.8032,-384.8320,164
159,-40.9351,-359.5324,176
160,-41.0669,-336.7627,176
161,-41.1987,-316.2701,188
162,-40.9790,-262.6704,188
163,-41.1548,-253.9815,176
164,-41.0889,-221.9915,176
165,-41.0229,-193.2006,164
166,-40.9131,-162.8942,164
167,-40.6714,-122.4348,152
168,-40.4956,-92.6132,152
169,-40.1880,-52.5902,140
170,-39.9463,-23.1612,140
171,-39.6167,12.1139,128
172,-39.2871,43.8615,128
173,-38.8257,85.6179,116
174,-38.4961,110.0151,116
175,-38.1226,136.3671,104
176,-37.7271,162.2811,104
177,-37.2656,192.1956,92
178,-36.8921,210.3296,92
179,-36.4307,235.4392,80
180,-36.0571,249.2488,80
181,-35.5078,279.2555,68
182,-35.2222,279.8944,68
183,-34.7388,300.2448,56
184,-34.3652,307.5739,56
185,-33.8818,325.1563,44
186,-33.5742,323.4024,44
187,-33.0688,341.5993,32
188,-32.7612,338.2010,32
189,-32.1899,361.5099,20
190,-31.9702,347.3315,20
191,-31.6187,347.7546,8
192,-31.1572,359.1217,8
193,-30.8716,351.7740,-4
194,-30.6519,338.5692,-4
195,-30.3003,339.8686,-16
196,-29.9927,336.6434,-16
197,-29.5313,349.1216,-28
198,-29.3555,331.7876,-28
199,-28.9600,338.1596,-40
200,-28.7402,326.3163,-40
201,-28.4326,324.4464,-52
202,-28.2568,309.5799,-52
203,-27.7954,324.7644,-64
204,-27.6416,307.6689,-64
205,-27.3340,307.6637,-76
206,-27.0483,305.4617,-76
207,-26.7627,303.4800,-88
208,-26.5869,290.7101,-88
209,-26.4331,277.0200,-100
210,-26.2793,264.6988,-100
211,-26.1035,255.8071,-112
212,-25.9497,245.6072,-112
213,-25.8179,234.2301,-124
214,-25.7959,213.0043,-124
215,-25.5762,213.6765,-136
216,-25.7080,179.1253,-136
217,-25.8618,145.8319,-148
218,-25.8179,135.6432,-148
219,-25.9277,111.0926,-160
220,-26.1255,80.2079,-160
221,-26.4990,34.8336,-165
222,-26.7188,9.3776,-165
223,-27.0923,-28.9137,-153
224,-27.2681,-43.6004,-153
225,-27.6416,-76.5939,-141
226,-28.1470,-119.4716,-141
227,-28.7622,-169.0479,-129
228,-29.0039,-176.3130,-129
229,-29.7070,-228.9942,-117
230,-29.8828,-223.6729,-117
231,-30.4541,-258.4345,-105
232,-30.9814,-285.3254,-105
233,-31.5967,-318.3163,-93
234,-32.0142,-328.2327,-93
235,-32.4536,-339.3548,-81
236,-33.1348,-373.5345,-81
237,-33.7280,-395.5072,-69
238,-34.2554,-408.6909,-69
239,-35.0464,-446.9233,-57
240,-35.3540,-432.9927,-57
241,-36.0132,-455.6114,-45
242,-36.3647,-445.2065,-45
243,-37.0898,-473.1956,-33
244,-37.7710,-493.9912,-33
245,-38.2983,-497.3265,-21
246,-38.8257,-500.3282,-21
247,-39.5288,-520.6078,-9
248,-40.0342,-519.0842,-9
249,-40.9570,-559.4609,3
250,-41.2427,-532.0792,3
251,-41.9897,-553.5783,15
252,-42.5830,-557.5466,15
253,-43.2422,-567.7099,27
254,-43.8135,-568.0678,27
255,-44.4946,-579.3762,39
256,-45.0659,-578.5675,39
257,-45.7690,-591.0233,51
258,-46.3403,-589.0498,51
259,-47.0435,-600.4573,63
260,-47.5708,-593.1459,63
